group_image,individual_image,px_to_cm
A00000040692,beetle_320.png,240
A00000040692,beetle_369.png,240
A00000040692,beetle_377.png,240
A00000040692,beetle_380.png,240
A00000040692,beetle_331.png,240
A00000040692,beetle_304.png,240
A00000040692,beetle_326.png,240
A00000056861,beetle_120.png,299
A00000056861,beetle_518.png,299
A00000056861,beetle_337.png,299
A00000056861,beetle_200.png,299
A00000056861,beetle_495.png,299
A00000056861,beetle_517.png,299
A00000056861,beetle_655.png,299
A00000056861,beetle_207.png,299
A00000056861,beetle_333.png,299
A00000056861,beetle_620.png,299
A00000056861,beetle_635.png,299
A00000009164,beetle_440.png,337
A00000009164,beetle_1318.png,337
A00000009164,beetle_436.png,337
A00000046116,beetle_675.png,262
A00000046116,beetle_623.png,262
A00000046116,beetle_332.png,262
A00000046116,beetle_143.png,262
A00000046116,beetle_73.png,262
A00000046116,beetle_615.png,262
A00000046116,beetle_633.png,262
A00000046116,beetle_487.png,262
A00000046116,beetle_135.png,262
A00000046116,beetle_486.png,262
A00000046116,beetle_794.png,262
A00000046116,beetle_671.png,262
A00000046116,beetle_790.png,262
A00000046116,beetle_337.png,262
A00000046116,beetle_471.png,262
A00000046116,beetle_142.png,262
A00000046116,beetle_667.png,262
A00000046116,beetle_482.png,262
A00000046116,beetle_141.png,262
A00000046116,beetle_334.png,262
A00000046116,beetle_144.png,262
A00000046116,beetle_490.png,262
A00000046116,beetle_122.png,262
A00000046116,beetle_333.png,262
A00000046116,beetle_793.png,262
A00000046116,beetle_339.png,262
A00000046116,beetle_290.png,262
A00000046116,beetle_344.png,262
A00000046116,beetle_673.png,262
A00000046116,beetle_489.png,262
A00000051612,beetle_352.png,225
A00000051612,beetle_335.png,225
A00000051612,beetle_361.png,225
A00000051612,beetle_161.png,225
A00000051612,beetle_363.png,225
A00000051612,beetle_244.png,225
A00000051612,beetle_239.png,225
A00000051612,beetle_337.png,225
A00000051612,beetle_172.png,225
A00000051612,beetle_160.png,225
A00000051612,beetle_171.png,225
A00000051612,beetle_166.png,225
A00000051612,beetle_320.png,225
A00000051612,beetle_324.png,225
A00000051612,beetle_247.png,225
A00000051612,beetle_347.png,225
A00000051612,beetle_255.png,225
A00000051612,beetle_327.png,225
A00000051612,beetle_250.png,225
A00000041411,beetle_528.png,251
A00000041411,beetle_135.png,251
A00000041411,beetle_537.png,251
A00000041411,beetle_181.png,251
A00000041411,beetle_538.png,251
A00000041411,beetle_412.png,251
A00000041411,beetle_24.png,251
A00000041411,beetle_373.png,251
A00000041411,beetle_26.png,251
A00000041411,beetle_539.png,251
A00000041411,beetle_133.png,251
A00000041411,beetle_30.png,251
A00000041411,beetle_574.png,251
A00000041411,beetle_141.png,251
A00000041411,beetle_432.png,251
A00000041411,beetle_409.png,251
A00000041411,beetle_122.png,251
A00000041411,beetle_532.png,251
A00000041411,beetle_527.png,251
A00000050021,beetle_246.png,243
A00000050021,beetle_368.png,243
A00000050021,beetle_235.png,243
A00000050021,beetle_367.png,243
A00000050021,beetle_228.png,243
A00000050021,beetle_369.png,243
A00000050021,beetle_364.png,243
A00000050021,beetle_241.png,243
A00000050021,beetle_370.png,243
A00000050021,beetle_229.png,243
A00000049749,beetle_1138.png,357
A00000049749,beetle_1144.png,357
A00000049749,beetle_1162.png,357
