group_image,individual_image,px_to_cm
A00000033585,beetle_148.png,358
A00000033585,beetle_34.png,358
A00000009015,beetle_892.png,333
A00000009015,beetle_267.png,333
A00000009015,beetle_568.png,333
A00000009015,beetle_902.png,333
A00000009015,beetle_883.png,333
A00000046118,beetle_318.png,359
A00000046118,beetle_366.png,359
A00000046118,beetle_323.png,359
A00000046118,beetle_367.png,359
A00000046118,beetle_171.png,359
A00000046089,beetle_588.png,241
A00000046089,beetle_401.png,241
A00000046089,beetle_550.png,241
A00000046089,beetle_281.png,241
A00000046089,beetle_278.png,241
A00000040689,beetle_503.png,240
A00000040689,beetle_565.png,240
A00000040689,beetle_381.png,240
A00000040689,beetle_422.png,240
A00000040689,beetle_403.png,240
A00000040728,beetle_736.png,286
A00000040728,beetle_265.png,286
A00000040728,beetle_269.png,286
A00000040728,beetle_706.png,286
A00000043621,beetle_852.png,255
A00000043621,beetle_329.png,255
A00000043621,beetle_330.png,255
A00000043621,beetle_584.png,255
A00000043621,beetle_851.png,255
A00000051527,beetle_493.png,259
A00000051527,beetle_541.png,259
A00000051527,beetle_189.png,259
A00000051527,beetle_371.png,259
A00000051527,beetle_73.png,259
A00000040690,beetle_441.png,240
A00000040690,beetle_100.png,240
A00000040690,beetle_104.png,240
A00000040690,beetle_371.png,240
A00000040690,beetle_429.png,240
A00000051557,beetle_119.png,290
A00000051557,beetle_100.png,290
A00000051557,beetle_508.png,290
A00000051557,beetle_588.png,290
A00000051557,beetle_638.png,290
A00000069273,beetle_643.png,280
A00000069273,beetle_392.png,280
A00000069273,beetle_501.png,280
A00000069273,beetle_542.png,280
A00000069273,beetle_636.png,280
A00000051525,beetle_460.png,247
A00000051525,beetle_504.png,247
A00000051525,beetle_492.png,247
A00000051525,beetle_322.png,247
A00000051525,beetle_375.png,247
A00000051167,beetle_1044.png,264
A00000051167,beetle_651.png,264
A00000051167,beetle_248.png,264
A00000051167,beetle_246.png,264
A00000051167,beetle_664.png,264
A00000051590,beetle_300.png,305
A00000051590,beetle_357.png,305
A00000051590,beetle_358.png,305
