image,px_to_cm
A00000033638.jpg,367
A00000044187.jpg,231
A00000046098.jpg,231
A00000050036.jpg,272
A00000051187.jpg,261
A00000022197.jpg,382
A00000051537.jpg,250
A00000051543.jpg,241
A00000034542.jpg,233
A00000033687.jpg,362
A00000033685.jpg,415
A00000056862.jpg,219
A00000040728.jpg,286
A00000040720.jpg,337
A00000034555.jpg,232
A00000046114.jpg,226
A00000051587.jpg,334
GRSM_012.20180417.CARGOR.01.jpg,317
A00000051614.jpg,294
A00000051182.jpg,265
A00000033639.jpg,442
A00000051536.jpg,242
A00000046299.jpg,245
A00000046082.jpg,245
A00000049798.jpg,242
A00000051529.jpg,257
A00000040699.jpg,240
A00000046177.jpg,232
A00000051542.jpg,224
STER_006.E.20180726.CYCTOR.01(15).jpg,374
A00000046070.jpg,249
A00000051527.jpg,259
A00000046111.jpg,231
A00000051177.jpg,381
A00000046096.jpg,285
A00000046183.jpg,223
A00000008962.jpg,241
A00000033655.jpg,428
A00000069270.jpg,400
A00000051538.jpg,294
A00000051622.jpg,290
A00000051526.jpg,255
A00000033573.jpg,425
A00000046105.jpg,231
A00000046227.jpg,238
CPER_004.E.20180705.EURGRO.01(14).jpg,261
A00000051556.jpg,323
A00000059781.jpg,271
A00000012430.jpg,244
A00000040683.jpg,266
A00000069265.jpg,232
